Study Abroad Institution,Program Name ,Year ,Kzoo Course Name ,Kzoo Discipline ,Host Insti. Course Number,Host Insti. Course Name
Universite Cheikh Anta Diop ,Senegal: Dakar ,2015-2016,African Literature (in French and English),AFST,NA,Litterature africaine
"Friedrich-Alexander Universität, Erlangen",Germany: Erlangen,2018-2019,White Supremacy in Popular Culture,AMST,NA,White Supremacy in Popular Culture
Curtin University ,Australia: Perth,2016-2017,Community Service Workshop,ANSO,XINO 1016,International Study Abroad Community Service
Curtin University ,Australia: Perth,2018-2019,International Study Abroad- Community Service,ANSO,XINO 1016,International Study Abroad Community Service
Curtin University ,Australia: Perth,2018-2019,Introduction to Indigenous Australians,ANSO,INDS 1000,Introduction to Indigenous Australians
Curtin University ,Australia: Perth,2017-2018,Australian Studies ,ANSO,HERI 2002,Australian Studies 
Curtin University ,Australia: Perth,2017-2018,Private Lives & Public Issues,ANSO,ANTH 2002,Private Lives & Public Issues
Curtin University ,Australia: Perth,2016-2017,Indigenous Cultures and Health,ANSO,INDH 1006,Indigenous Cultures and Health Behaviors
Curtin University ,Australia: Perth,2016-2017,Intro to Indigenous Australians,ANSO,INDS 1000,Introduction to Indigenous Australians
Curtin University ,Australia: Perth,2016-2017,Senses of Place ,ANSO,CULT 1000,Senses of Place 
Curtin University ,Australia: Perth,2016-2017,The Individual in Society ,ANSO,SCWK 1001,The individual in Society
Curtin University ,Australia: Perth,2015-2016,Community Service Workshop,ANSO,XINO 1016,International Study Abroad Community Service 
Curtin University ,Australia: Perth,2015-2016,Community Service Workshop,ANSO,XINO 1016,International Study Abroad - Community Service 
Curtin University ,Australia: Perth,2015-2016,Indigenous Cultures and Health,ANSO,INDH 1000,Indigenous Cultures and Health
Curtin University ,Australia: Perth,2015-2016,Indigenous Cultures and Health,ANSO,INDH 1000,Indigenous Cultures and Health 
Curtin University ,Australia: Perth,2015-2016,Intro to Indigenous Australians,ANSO,INDS 1000,Introduction to Indigenous Australians 
University of Botswana,Botswana: Gabarone,2015-2016,Intro to Criminology ,ANSO,CJS 121,Introduction to Criminology 
University of Botswana,Botswana: Gabarone,2015-2016,Social Work with Youth ,ANSO,DSW 103,Social Work with Youth 
Pontifica Universidad Catolica de Chile,Chile: Santiago,2015-2016,Global Justice ,ANSO,DE PUC-ICP0207,Global Justice 
Pontifica Universidad Catolica de Chile,Chile: Santiago,2015-2016,"Population, Development, and Public Policies",ANSO,DE UDP-CFG2224,"Population, Development, and Public Policies"
Pontifica Universidad Catolica de Chile,Chile: Santiago,2015-2016,Transnational Migrations ,ANSO,DE UDP-SOC9090,"Transnational Migrations: Global Paradoxes, Local Challenges  "
Pontifica Universidad Catolica de Chile,Chile: Santiago,2017-2018,Stratification & Inequality I,ANSO,DE UDP - SOC7222,Stratification & Inequality I
Pontifica Universidad Catolica de Chile,Chile: Santiago,2017-2018,Youth Sociology,ANSO,DE UDP - SOC9043,Youth Sociology
Pontifica Universidad Catolica de Chile,Chile: Santiago,2017-2018,The Immigrant: Dreams and Conflicts through the Borders,ANSO,DE UPD -CFG2327,The Immigrant: Dreams and Conflicts through the Borders
Pontifica Universidad Catolica de Chile,Chile: Valparaiso,2015-2016,Globalization and Integration of Latin America ,ANSO,DE VALP-PIIE563,Globalization and Integration in Latin America 
