id,study_abroad_institution,program_name,kzoo_course_name,kzoo_discipline,host_insti_course_number,host_insti_course_name,start_year,end_year
781,University of Nairobi ,Kenya,ICRP,ICRP,ICRP,2018,2019
1,Curtin University ,Australia Curtin ,Community Service Workshop,ANSO,XINO 1016,International Study Abroad Community Service,2016,2017
2,Curtin University ,Australia: Curtin ,International Study Abroad- Community Service,ANSO,XINO 1016,International Study Abroad- Community Service,2018,2019
3,Curtin University ,Australia: Curtin ,Introduction to Indigenous Australians,ANSO,INDS 1000,Introduction to Indigenous Australians,2018,2019
4,Curtin University ,Australia: Curtin ,Integrated Systems Anatomy & Physiology,BIOL,HUMB 1001,Integrated Systems Anatomy and Physiology,2018,2019
5,Curtin University ,Australia: Curtin ,Perception,BIOL,BIOL 2005,Perception,2018,2019
6,Curtin University ,Australia: Curtin ,Biochemistry and Cell Biology,BIOL/CHEM,BCCB 2001,Biochemistry and Cell Biology,2018,2019
7,Curtin University ,Australia: Curtin ,Business Law,BUSN,BLAW1004,Business Law,2018,2019
8,Curtin University ,Australia: Curtin ,Fundamentals of Management,BUSN,MGMT 1000,Fundamentals of Management,2018,2019
9,Curtin University ,Australia: Curtin ,Introduction to Public Health ,CGHL,PUBH 1000,Introduction to Public Health ,2018,2019
10,Curtin University ,Australia: Curtin ,Foundations of Biostatistics and Epidemiology,CGHL,EPID 1000,Foundations of Biostatistics and Epidemiology,2018,2019
11,Curtin University ,Australia: Curtin ,Database Systems,COMP,ISYS 1001,Database Systems,2018,2019
12,Curtin University ,Australia: Curtin ,Unix and C Programming,COMP,COMP 1000,Unix and C Programming,2018,2019
13,Curtin University ,Australia: Curtin ,Discovering Marketing ,ECON,MKTG 1000,Discovering Marketing ,2018,2019
14,Curtin University ,Australia: Curtin ,Promoting Physical Activity and Injury Prevention,PED,HLPR 1000,Promoting Physical Activity and Injury Prevention,2018,2019
15,Curtin University ,Australia: Curtin ,Exercise and Sports Psychology,PSYC,PSYC 2004,Exercise and Sports Psychology,2018,2019
16,Curtin University ,Australia: Curtin ,Foundations of Psychology,PSYC,PSYC 1001,Foundations of Psychology,2018,2019
17,Curtin University ,Australia: Curtin ,Introduction to Sexual Attitudes and Values,PSYC,COUN 2000,Introduction to Sexology Attitudes and Values,2018,2019
18,Curtin University ,Australia: Curtin ,Australian Studies ,ANSO,HERI 2002,Australian Studies ,2017,2018
19,Curtin University ,Australia: Curtin ,Private Lives & Public Issues,ANSO,ANTH 2002,Private Lives & Public Issues,2017,2018
20,Curtin University ,Australia: Curtin ,Small Business Planning,BUSN,MGMT 2001,Small Business Planning,2017,2018
21,Curtin University ,Australia: Curtin ,Object Oriented Program Design,COMP,COM 1001,Object Oriented Program Design,2017,2018
22,Curtin University ,Australia: Curtin ,Microeconomic Principles,ECON,ECON 2004,Microeconomic Principles,2017,2018
23,Curtin University ,Australia: Curtin ,Qualitative Techniques for Business,ECON,ECOM 2001,Qualitative Techniques for Business,2017,2018
24,Curtin University ,Australia: Curtin ,Creative Writing ,ENGL,CWRI 1001,Creative Writing,2017,2018
25,Curtin University ,Australia: Curtin ,Culture to Cultures,ENGL,COMS 1003,Culture to Cultures,2017,2018
26,Curtin University ,Australia: Curtin ,Fisheries Science,ENVS,FISH 3000,Fisheries Science,2017,2018
27,Curtin University ,Australia: Curtin ,ICRP: Asia Study Tour,ICRP,ICRP,ICRP (Integrative Cultural Research Project) ,2017,2018
28,Curtin University ,Australia: Curtin ,Integrative Cultural Project ,ICRP,ICRP,ICRP (Integrative Cultural Research Project) ,2017,2018
29,Curtin University ,Australia: Curtin ,Physics of Stars & Galaxies,PHYS,ASTR 2000,Physics of Stars & Galaxies,2017,2018
30,Curtin University ,Australia: Curtin ,Indigenous Cultures and Health,ANSO,INDH 1006,Indigenous Cultures and Health Behaviors,2016,2017
31,Curtin University ,Australia: Curtin ,Intro to Indigenous Australians,ANSO,INDS 1000,Introduction to Indigenous Australians,2016,2017
32,Curtin University ,Australia: Curtin ,Senses of Place ,ANSO,CULT 1000,Senses of Place ,2016,2017
33,Curtin University ,Australia: Curtin ,The Individual in Society ,ANSO,SCWK 1001,The individual in Society,2016,2017
34,Curtin University ,Australia: Curtin ,Brain and Behavior ,BIOL,BIOL 1002,Brain and Behavior ,2016,2017
35,Curtin University ,Australia: Curtin ,Integrated Systems Anatomy & Physiology,BIOL,HUMB 1001,Integrated Systems Anatomy and Physiology,2016,2017
36,Curtin University ,Australia: Curtin ,Analytical Chemistry ,CHEM,FNCE 2000,Analytical Chemistry ,2016,2017
37,Curtin University ,Australia: Curtin ,Terrestrial Ecology ,ECOL,ECEV 2000,Terrestrial Ecology ,2016,2017
38,Curtin University ,Australia: Curtin ,Discovering Marketing ,ECON,MKTG 1000,Discovering Marketing ,2016,2017
39,Curtin University ,Australia: Curtin ,Australian Studies ,ENGL,HERI 2002,Australian Studies ,2016,2017
40,Curtin University ,Australia: Curtin ,Creative Writing ,ENGL,CWRI 1000,Creative Writing ,2016,2017
41,Curtin University ,Australia: Curtin ,Making Meaning ,ENGL,COMS 1005,Making Meanings,2016,2017
42,Curtin University ,Australia: Curtin ,Introduction to Public Health ,HLSC,PUBH 1000,Introduction to Public Health ,2016,2017
43,Curtin University ,Australia: Curtin ,Education Through the Eyes of Contemporary Indigeneity,ICRP,,,2016,2017
44,Curtin University ,Australia: Curtin ,"Pleasure, Power, and Popular Culture ",IDSY,LCST 1003,"Pleasure, Power and Popular Culture",2016,2017
45,Curtin University ,Australia: Curtin ,Intro to Psychology,PSYC,PSYC 1001,Foundations of Psychology,2016,2017
46,Curtin University ,Australia: Curtin ,Sexology,PSYC,COUN 2000,Introduction to Sexology Attitudes and Values,2016,2017
47,Curtin University ,Australia: Curtin ,Technical Theatre Fundamentals,THEA,THTR 2002,Technical Theatre Fundamentals,2016,2017
48,Curtin University ,Australia: Curtin ,Community Service Workshop,ANSO,XINO 1016,International Study Abroad Community Service ,2015,2016
49,Curtin University ,Australia: Curtin ,Community Service Workshop,ANSO,XINO 1016,International Study Abroad - Community Service ,2015,2016
50,Curtin University ,Australia: Curtin ,Indigenous Cultures and Health,ANSO,INDH 1000,Indigenous Cultures and Health,2015,2016
51,Curtin University ,Australia: Curtin ,Indigenous Cultures and Health,ANSO,INDH 1000,Indigenous Cultures and Health ,2015,2016
52,Curtin University ,Australia: Curtin ,Intro to Indigenous Australians,ANSO,INDS 1000,Introduction to Indigenous Australians ,2015,2016
53,Curtin University ,Australia: Curtin ,Functional Anatomy,BIOL,HUMB 1002,Functional Anatomy,2015,2016
54,Curtin University ,Australia: Curtin ,Marine Ecology ,BIOL,MARI 2000,Marine Ecology ,2015,2016
55,Curtin University ,Australia: Curtin ,Perception,BIOL,BIOL 2005,Perception ,2015,2016
56,Curtin University ,Australia: Curtin ,Public Relations Foundations ,BUSN,PUBR 2002,Public Relations Foundations,2015,2016
57,Curtin University ,Australia: Curtin ,Intro to Economics,ECON,ECON 1000,Introductory Economics,2015,2016
58,Curtin University ,Australia: Curtin ,Introduction to Accounting ,ECON,ACCT 1000,Introduction to Accounting,2015,2016
59,Curtin University ,Australia: Curtin ,Introduction to Finance Priniciples ,ECON,FNCE 2000,Introduction to Finance Principles ,2015,2016
60,Curtin University ,Australia: Curtin ,Intro Screen Cultures ,ENGL,SCST 1000,Introduction to Screen Cultures,2015,2016
61,Curtin University ,Australia: Curtin ,Narrating Selves ,ENGL,CWRI 1003,Narrating Selves ,2015,2016
62,Curtin University ,Australia: Curtin ,Popular Fiction and the Social ,ENGL,CWRI 2004,Popular Fiction and the Social ,2015,2016
63,Curtin University ,Australia: Curtin ,World Cinemas ,ENGL,SCST 2000,World Cinemas ,2015,2016
64,Curtin University ,Australia: Curtin ,Writing Screenplays for Short Drama,ENGL,SCWR 2002,Writing Screenplays for Short Drama ,2015,2016
65,Curtin University ,Australia: Curtin ,Climate Change and Adaptation: Intro ,ENVS,ENST 1000,Climate Change and Adaptation ,2015,2016
66,Curtin University ,Australia: Curtin ,Env and Coastal Planning ,ENVS,URDE 1004,Enviornmental and Coastal Planning ,2015,2016
67,Curtin University ,Australia: Curtin ,Presentation for Broadcast ,MDST,JOUR 3002,Presentation for Broadcast ,2015,2016
68,Curtin University ,Australia: Curtin ,Planetary Science ,PHYS,ASTR 1002,Planetary Science ,2015,2016
69,Curtin University ,Australia: Curtin ,Child Developmental Psychology ,PSYC,PSYC 2003,Child Developmental Psychology ,2015,2016
70,Curtin University ,Australia: Curtin ,Intro to Psychology,PSYC,PSYC 1000,Introduction to Psychology ,2015,2016
71,Curtin University ,Australia: Curtin ,Introduction to Business Information Systems,COMP,ISYS 1000,Introduction to Business Information Systems,2018,2019
72,University of Botswana,Botswana ,Intro to Criminology ,ANSO,CJS 121,Introduction to Criminology ,2015,2016
73,University of Botswana,Botswana ,Social Work with Youth ,ANSO,DSW 103,Social Work with Youth ,2015,2016
74,University of Botswana,Botswana ,Modern Britain,HIST ,HIS 435,"Modern Britain: Nation, Class, Gender, Race",2015,2016
75,University of Botswana,Botswana ,The Rise of Europe to World Dominance,HIST ,HIS 211,The Rise of Europe to World Dominance,2015,2016
76,University of Botswana,Botswana ,Language Instruction I - Setswana ,LANG,ALL 132 ,Language Instruction I,2015,2016
77,University of Botswana,Botswana ,Psychology of Religion ,RELG,TRS 309,Psychology of Religion ,2015,2016
78,University of Botswana,Botswana ,Religions of Botswana ,RELG,TRS 103,Religions of Botswana ,2015,2016
79,University of Botswana,Botswana ,Theologies of Gender ,RELG,TRS 204,Theologies of Gender ,2015,2016
80,University of Botswana,Botswana ,A Study of Social Dramas,THEA,ALL 252,Rites of Passage: A Study of Social Dramas,2015,2016
81,University of Botswana,Botswana ,Production Workshop I ,THEA,BFA 221,Production Workshop I ,2015,2016
82,Pontifica Universidad Catolica de Chile,Chile,Chilean Art & Society in the Pre-Historic Era,HIST ,DE VALP-HIS5541,Chilean Art & Society in the Pre-Historic Era,2016,2017
83,Pontifica Universidad Catolica de Chile,Chile,Urban History and Regional History of Valparaiso ,HIST ,DE VALP-HIS557 ,Urban History and Regional History of Valparaiso ,2016,2017
84,Pontifica Universidad Catolica de Chile,Chile,Globalization and Integration of Latin America ,IDSY,DE VALP-PIIE563,Globalization and Integration of Latin America ,2016,2017
85,Pontifica Universidad Catolica de Chile,Chile,Intercultural Communication and Leadership,IDSY,COMM 3301 VALP ,Intercultural Communication and Leadership,2016,2017
86,Pontifica Universidad Catolica de Chile,Chile,Global Justice ,ANSO,DE PUC-ICP0207,Global Justice ,2015,2016
87,Pontifica Universidad Catolica de Chile,Chile,Globalization and Integration of Latin America ,ANSO,DE VALP-PIIE563,Globalization and Integration in Latin America ,2015,2016
